x1,x2,x3,t
-4.646864563,2.931804466,-1,0
-3.087238735,6.022021202,-1,0
-3.624122747,2.803476331,-1,0
-2.778801793,2.880194682,-1,0
-1.451647905,6.784903389,-1,0
-0.688678597,5.002681816,-1,0
-1.753923309,5.600332945,-1,0
-1.867636756,3.574869563,-1,0
-1.407678828,4.688840823,-1,0
-1.473933025,5.264772255,-1,0
-1.777421777,7.827200811,-1,0
1.494776198,4.01323901,-1,0
-1.858412589,4.762890968,-1,0
-3.064080715,6.315847531,-1,0
-0.52654707,6.49906366,-1,0
-2.565874401,1.879246879,-1,0
-1.680449231,4.380385443,-1,0
-0.614526522,3.930025604,-1,0
-0.72252152,4.974668593,-1,0
-4.535093524,5.814562861,-1,0
-5.734731935,5.703337436,-1,0
-3.109485288,6.803918628,-1,0
0.611888413,5.707845828,-1,0
-1.628317198,5.49875482,-1,0
3.595456476,4.171175313,-1,1
8.38494871,8.022028188,-1,1
3.905570296,4.887571492,-1,1
5.157002893,5.888339713,-1,1
7.268900122,5.907687065,-1,1
6.950178482,5.587762362,-1,1
3.802058801,5.303094631,-1,1
6.167794582,6.967071381,-1,1
3.238040181,3.15930174,-1,1
2.302784152,7.585588409,-1,1
6.045389464,6.085182507,-1,1
2.265195849,3.182502062,-1,1
1.619408949,6.755312815,-1,1
4.905056305,6.869797493,-1,1
7.190969384,7.699522741,-1,1
6.925535936,4.335422973,-1,1
2.636117086,7.592083788,-1,1
5.058949757,5.416580294,-1,1
6.269450311,2.686030093,-1,1
6.539797723,3.772765921,-1,1
7.467736902,6.469649586,-1,1
7.508080745,7.834915103,-1,1
6.353925666,3.129272808,-1,1
2.747694589,4.824215529,-1,1
5.062774907,3.961562079,-1,1
2.818168155,7.972120638,-1,1
6.949656283,3.583171731,-1,1
7.754464612,7.105295397,-1,1
1.835358396,4.01246317,-1,1
6.321036737,6.228037139,-1,1
4.457956633,2.906171057,-1,1
4.244275562,7.37214567,-1,1
3.594207232,1.516904751,-1,1
6.997656837,5.50994052,-1,1
5.605894241,5.66566648,-1,1
4.812054202,3.702357564,-1,1
5.659725694,3.471894537,-1,1
6.602044351,5.963464101,-1,1
3.625172132,3.361605908,-1,1
3.743499841,4.955352564,-1,1
6.088617692,0.54155723,-1,1
7.507169034,1.70957175,-1,1
6.976706323,4.929239091,-1,1
4.817214805,6.767642052,-1,1
2.894287164,2.391905826,-1,1
1.29569913,6.073067088,-1,1
3.534974733,5.781593681,-1,1
6.78600306,4.069549483,-1,1
4.131753141,4.962171791,-1,1
5.448619213,8.464770089,-1,1
